front,back,next_review_date,interval_days,ease_factor,lapses,reviews,tags,notes
Describe the key features of the wind turbine built by Charles Francis Brush in 1887 in the USA.,"Inventor: Charles Francis Brush\nLocation: Cleveland, USA\nTurbine Diameter: 17m\nBlades: 144 blades\nRotational Speed: 10 rev/min\nPower Output: 12 kW",2025-04-28,0.0,2.5,0,0,"wind_power,history,hawt,brush_turbine",Slide 8
What characterized the wind farms developed in California during the 1980s?,They typically consisted of numerous small wind turbines (WTs) with power ratings less than 100 kW and rotor diameters around 10-15 meters.,2025-04-28,0.0,2.5,0,0,"wind_power,history,california_wind_farms",Slide 8
What are the two main classifications of wind turbines based on their axis of rotation? Give the full names and acronyms.,1. Horizontal Axis Wind Turbine (HAWT)\n2. Vertical Axis Wind Turbine (VAWT),2025-04-28,0.0,2.5,0,0,"wind_turbine_types,hawt,vawt,classification",Slide 9
"Contrast the characteristics and typical applications of high-solidity, low-speed HAWTs versus low-solidity, high-speed HAWTs.","- High-solidity, low-speed HAWTs (e.g., multi-bladed water pumps): Maximize running time over maximum power output.\n- Low-solidity, high-speed HAWTs (e.g., modern power generation turbines): Resemble aircraft propellers, designed to maximize power output per unit, most common type today.",2025-04-28,0.0,2.5,0,0,"wind_turbine_types,hawt,solidity,comparison",Slide 9
List the main categories of Vertical Axis Wind Turbines (VAWTs) mentioned in MEC316 HL-1.,"The main categories are:\n- Drag types (e.g., Savonius rotor)\n- Lift types (e.g., Darrieus rotor / aerofoil blades)\n- Combination lift/drag types",2025-04-28,0.0,2.5,0,0,"wind_turbine_types,vawt,classification,savonius,darrieus",Slide 9
"Describe the general trend in the physical size (rotor diameter, tip height) of wind turbines from 1980 towards 2030, comparing onshore and offshore.",Both onshore and offshore turbines have significantly increased in size over this period.\nThe trend shows offshore turbines generally becoming larger and increasing in size more rapidly than onshore turbines.,2025-04-29,1.0,2.5,0,1,"wind_turbine_types,trends,size,onshore,offshore",Slide 10
"According to the GWEC 2024 trend graph (MEC316 HL-1), what was a typical rated power and rotor diameter for an *offshore* wind turbine around 2023?","Around 2023, a typical offshore turbine shown had a rated power of 9.5 MW with a rotor diameter of approximately 164 meters.",2025-04-28,0.0,2.5,0,0,"wind_turbine_types,trends,size,offshore,power_rating",Slide 10
"According to the GWEC 2024 trend graph (MEC316 HL-1), what was a typical rated power and rotor diameter for an *onshore* wind turbine around 2023?","Around 2023, a typical large onshore turbine shown had a rated power of 10 MW with a rotor diameter of approximately 190 meters.",2025-04-28,0.0,2.5,0,0,"wind_turbine_types,trends,size,onshore,power_rating",Slide 10
"For a typical 1 GW offshore wind farm (circa 2024, MEC316 HL-1), what are the top three capital cost (CapEx) components in descending order of percentage?",1. Wind turbines (~48%)\n2. Foundations (~24%)\n3. Electrical export system (~15%),2025-04-28,0.0,2.5,0,0,"wind_power,economics,offshore,costs,capex",Slide 11
What is the typical range provided in MEC316 HL-1 for the Levelized Cost of Energy (LCOE) for offshore wind farms (circa 2024)?,"The typical range given is 70-108 US$/MWh, noting that it depends on the financing scenarios.",2025-04-28,0.0,2.5,0,0,"wind_power,economics,offshore,costs,lcoe",Slide 11
"According to MEC316 HL-1 (data up to 2024), what was the approximate annual share of wind power in Great Britain's electricity generation, and what trend was observed?","Wind power contributed approximately 25% of GB's electricity in 2024.\nThe trend showed wind becoming the largest single source of electricity generation, surpassing fossil fuels.",2025-04-28,0.0,2.5,0,0,"wind_power,uk_energy,statistics,trends",Slide 12
"Despite the growth of wind power, why does natural gas remain crucial for the Great Britain electricity mix, according to MEC316 HL-1?","Gas remains crucial because it helps maintain power supply stability when output from weather-dependent sources like wind and solar drops (i.e., it provides backup/balancing power).",2025-04-28,0.0,2.5,0,0,"wind_power,uk_energy,grid_integration,natural_gas,balancing",Slide 12
"As of April 2015 data presented in MEC316 HL-1, what was the approximate total *operational* capacity of offshore wind power in the UK?","The total operational capacity was approximately 4,039 MW.",2025-04-28,0.0,2.5,0,0,"wind_power,uk_energy,offshore,statistics,history",Slide 14
"What was the electricity generation capacity of the London Array offshore wind farm, noted as the world's largest operational in 2013 (MEC316 HL-1)?",The capacity was 630 MW.,2025-04-28,0.0,2.5,0,0,"wind_power,offshore,case_study,london_array,capacity",Slide 15
"How many turbines does the London Array have, and what is their specific model/rating according to MEC316 HL-1?",The London Array has 175 wind turbines.\nThe model is Siemens SWT-3.6-120 (rated at 3.6 MW each).,2025-04-28,0.0,2.5,0,0,"wind_power,offshore,case_study,london_array,turbines",Slide 15
What is the planned generation capacity of the Hornsea Project One offshore wind farm?,"The capacity of Hornsea Project One is 1,200 MW (1.2 GW).",2025-04-28,0.0,2.5,0,0,"wind_power,offshore,case_study,hornsea,capacity",Slide 16
"How many turbines were planned for Hornsea Project One, and what were their individual power rating and approximate height according to MEC316 HL-1?",Hornsea Project One uses 174 giant wind turbines.\nEach turbine is rated at 7 MW and is approximately 190 meters tall.,2025-04-28,0.0,2.5,0,0,"wind_power,offshore,case_study,hornsea,turbines",Slide 16
"According to the MEC316 HL-1 slide, what was the operational status of the Hornsea offshore wind farm projects (1, 2, 3, 4)?",Project 1 (operational since 2020)\nProject 2 (operational since 2022)\nProject 3 (under construction)\nProject 4 (in pre-application phase),2025-04-28,0.0,2.5,0,0,"wind_power,offshore,case_study,hornsea,project_status",Slide 16
Name two examples of specific wind turbine models mentioned in MEC316 HL-1 as being installed in major wind farms.,"Examples include:\n- Vestas V90-3.0 MW (e.g., Robin Rigg)\n- Vestas V164-8.0 MW (e.g., Burbo Bank Extension)\n- Vestas V112-3.0 MW (e.g., Karehamn)\n- Siemens SWT-3.6MW-120 (e.g., London Array)\n(Any two of these are acceptable)",2025-04-28,0.0,2.5,0,0,"wind_turbine_types,hawt,models,examples",Slide 17
"What are the key specifications (manufacturer, power rating, rotor diameter) of the Vestas V236-15.0 'super-sized' turbine mentioned in MEC316 HL-1?",Manufacturer: Vestas\nPower output: 15 MW\nRotor diameter: 236 meters,2025-04-28,0.0,2.5,0,0,"wind_turbine_types,hawt,models,vestas,large_turbines",Slide 18
"What are the key specifications (manufacturer, power rating, rotor diameter, total height) of the GE Haliade-X (14 MW version) 'super-sized' turbine mentioned in MEC316 HL-1?",Manufacturer: GE\nPower output: 14 MW\nRotor diameter: 220 meters\nTotal height: 260 meters,2025-04-29,1.0,2.5,0,1,"wind_turbine_types,hawt,models,ge,haliade_x,large_turbines",Slide 18
"What is meant by 'capacity factor' for a wind turbine, and what value was claimed for the GE Haliade-X in the MEC316 HL-1 slide?",Capacity factor is the ratio of the actual energy produced by a turbine over a period to the energy it would have produced if operating at its maximum rated power continuously over that period.\nThe GE Haliade-X (14 MW) claims a gross capacity factor of 61%.,2025-04-28,0.0,2.5,0,0,"wind_power,performance,capacity_factor,definitions,ge,haliade_x",Slide 18
"List the key benefits of developing wind energy *offshore* compared to onshore, as outlined in MEC316 HL-1.","Key benefits include:\n- Availability of large areas with limited environmental impact.\n- Generally steadier and higher wind speeds, leading to more generation and better predictability.\n- Potential to locate generation closer to coastal population centers (high demand).\n- Feasibility of constructing larger, more efficient turbines due to easier water transport.",2025-04-28,0.0,2.5,0,0,"wind_power,offshore,advantages,comparison",Slide 19
Why do offshore wind farms generally allow for more energy generation and better predictability compared to onshore sites?,"Offshore locations typically experience steadier and higher average wind speeds than onshore locations (due to less surface friction/obstruction), leading to higher energy capture and less short-term fluctuation.",2025-04-28,0.0,2.5,0,0,"wind_power,offshore,advantages,wind_resource",Slide 19
What are the main *challenges* associated with offshore wind energy identified in MEC316 HL-1?,"The main challenges are:\n- Higher capital costs (foundations, installation in marine environments).\n- Higher operation & maintenance (O&M) costs due to accessibility and harsh conditions, especially further from shore.\n(Costs are expected to decrease with technological advancement).",2025-04-28,0.0,2.5,0,0,"wind_power,offshore,disadvantages,challenges,costs,o&m",Slide 19
Review Q1: Summarise the main advantages and disadvantages of wind power in general.,"Advantages: Sustainable, clean (no emissions), no fuel costs/transport, free resource, widely available.\nDisadvantages: Unpredictable output (variable wind), relatively high initial costs, potential environmental impacts (visual, noise, wildlife).",2025-04-28,0.0,2.5,0,0,"wind_power,advantages,disadvantages,review",Slide 20 (Summary of 6 & 7)
Review Q2: What are the main differences between Horizontal Axis Wind Turbines (HAWTs) and Vertical Axis Wind Turbines (VAWTs)? Give an example of each.,"Main difference: Axis of rotation.\n- HAWTs: Rotor spins around a horizontal axis (parallel to ground). Must yaw to face the wind. Example: Modern large turbines (Vestas, GE), multi-blade water pump.\n- VAWTs: Rotor spins around a vertical axis (perpendicular to ground). Do not need to yaw. Example: Darrieus (lift-based), Savonius (drag-based).",2025-04-28,0.0,2.5,0,0,"wind_turbine_types,hawt,vawt,comparison,examples,review",Slide 20 (Summary of 9)
"Review Q3: Based on the offshore example in MEC316 HL-1, what are the top three most expensive *capital cost* components when developing a wind farm?","For the typical 1 GW offshore example presented:\n1. Wind turbines (largest cost, ~48%)\n2. Foundations (~24%)\n3. Electrical export system (~15%)",2025-04-28,0.0,2.5,0,0,"wind_power,economics,offshore,costs,capex,review",Slide 20 (Summary of 11)
Review Q4: What are the key benefits specific to *offshore* wind energy?,"Key offshore benefits:\n- Access to stronger, steadier winds.\n- Availability of large areas away from population centers.\n- Ability to deploy larger, more powerful turbines.\n- Potential proximity to coastal load centers.",2025-04-28,0.0,2.5,0,0,"wind_power,offshore,advantages,review",Slide 20 (Summary of 19)
Review Q5: What is identified as a major challenge and likely significant *operating* cost for offshore wind farms?,"Operation and Maintenance (O&M) costs are identified as a major challenge for offshore wind farms, implying they are a significant operating expense.\nThese costs are higher than onshore due to accessibility issues and harsher marine environments.",2025-04-28,0.0,2.5,0,0,"wind_power,offshore,costs,o&m,challenges,review",Slide 20 (Inferred from 19)
