front,back,next_review_date,interval_days,notes,tags
"Lecture Topic","Performance Metrics in Aerospace Propulsion",2023-10-27,1,"",AER_MEC345;Lec3;PerformanceMetrics
"List the main performance metrics discussed","Efficiency (Polytropic, Propulsive, Overall), Specific Fuel Consumption (SFC), Specific Thrust.",2023-10-27,1,"Slide 2",AER_MEC345;Lec3;PerformanceMetrics
"Why is Polytropic Efficiency useful?","Useful for preliminary design when comparing concepts with different pressure ratios, as isentropic efficiency varies with pressure ratio.",2023-10-27,1,"Slide 3",AER_MEC345;Lec3;PerformanceMetrics;Efficiency;Polytropic
"How does isentropic efficiency typically change with pressure ratio for a compressor?","Tends to decrease as the design pressure ratio increases.",2023-10-27,1,"Slide 3 (Graph)",AER_MEC345;Lec3;PerformanceMetrics;Efficiency;Isentropic;Compressor
"How does isentropic efficiency typically change with pressure ratio for a turbine?","Tends to increase (slightly) as the design pressure ratio increases.",2023-10-27,1,"Slide 3 (Graph, inferred)",AER_MEC345;Lec3;PerformanceMetrics;Efficiency;Isentropic;Turbine
"What is Polytropic Efficiency ($`\eta_{\infty}`$)?","The isentropic efficiency of an *elemental* (infinitesimally small) stage, assumed constant throughout the entire compression or expansion process.",2023-10-27,1,"Slide 4",AER_MEC345;Lec3;PerformanceMetrics;Efficiency;Polytropic;Definition
"Physical reason for decreasing compressor isentropic efficiency with increasing pressure ratio?","Friction in early stages increases temperature. Since isobars diverge on a T-s diagram, this higher inlet temperature to later stages means more work is needed for the same pressure rise in those later stages, reducing overall isentropic efficiency.",2023-10-27,1,"Slide 5, 6",AER_MEC345;Lec3;PerformanceMetrics;Efficiency;Polytropic;Compressor;Explanation
"Can overall isentropic efficiency be derived from polytropic efficiency?","Yes, mathematical expressions relate the overall isentropic efficiency ($`\eta_c`$ or $`\eta_t`$) to the polytropic efficiency ($`\eta_{\infty,c}`$ or $`\eta_{\infty,t}`$) and the pressure ratio.",2023-10-27,1,"Slide 7",AER_MEC345;Lec3;PerformanceMetrics;Efficiency;Polytropic;Isentropic;Relationship
"Relationship between temperature ratio, pressure ratio, and polytropic efficiency for a compressor?","$`\frac{T_2}{T_1} = \left( \frac{P_2}{P_1} \right)^{(\gamma-1)/(\gamma \eta_{\infty,compressor})}`$",2023-10-27,1,"Slide 8",AER_MEC345;Lec3;PerformanceMetrics;Efficiency;Polytropic;Compressor;Formula;Math
"Relationship between temperature ratio, pressure ratio, and polytropic efficiency for a turbine?","$`\frac{T_3}{T_4} = \left( \frac{P_3}{P_4} \right)^{(\gamma-1)\eta_{\infty,turbine}/\gamma}`$",2023-10-27,1,"Slide 8",AER_MEC345;Lec3;PerformanceMetrics;Efficiency;Polytropic;Turbine;Formula;Math
"Basic formula for thrust (momentum thrust, neglecting fuel, fully expanded)?","$`F = \dot{m}_{air}(C_{jet} - C_{aircraft})`$",2023-10-27,1,"Slide 10. $`C_{jet}`$ = jet velocity, $`C_{aircraft}`$ = aircraft velocity ($`C_a`$).",AER_MEC345;Lec3;Thrust;Formula;Math
"Design Choice for achieving thrust?","For a given aircraft speed ($`C_a`$) and required thrust (F), designers can choose high jet velocity ($`C_{jet}`$) with low mass flow ($`\dot{m}_{air}`$), or low $`C_{jet}`$ with high $`\dot{m}_{air}`$.",2023-10-27,1,"Slide 11",AER_MEC345;Lec3;Design;Thrust;Tradeoff
"What is Propulsive Efficiency ($`\eta_p`$)?","Ratio of Thrust Power (useful work done on aircraft) to the rate at which kinetic energy is added to the airflow by the engine.",2023-10-27,1,"Slide 12",AER_MEC345;Lec3;PerformanceMetrics;Efficiency;Propulsive;Definition
"Formula for Thrust Power?","$`Thrust Power = F \times C_a`$",2023-10-27,1,"Slide 12. $`F`$ is thrust, $`C_a`$ is aircraft speed.",AER_MEC345;Lec3;PerformanceMetrics;Power;Formula;Math
"Formula for Jet Kinetic Power (rate of KE addition relative to aircraft)?","$`Jet Kinetic Power = \frac{1}{2} \dot{m} (C_j - C_a)^2`$",2023-10-27,1,"Slide 12. Note: This is the KE added *relative to the aircraft*. Some sources use rate of total KE generation: $`\frac{1}{2}\dot{m}(C_j^2 - C_a^2)`$. The definition used here leads to the standard $`\eta_p`$ formula.",AER_MEC345;Lec3;PerformanceMetrics;Power;Formula;Math
"Definition of Propulsive Efficiency ($`\eta_p`$) using Power terms?","$`\eta_p = \frac{Thrust Power}{Thrust Power + Jet Kinetic Power}`$",2023-10-27,1,"Slide 12",AER_MEC345;Lec3;PerformanceMetrics;Efficiency;Propulsive;Formula;Math
"Formula for Propulsive Efficiency ($`\eta_p`$) using velocities ($`C_j`$, $`C_a`$)?","$`\eta_p = \frac{2 C_a}{C_a + C_j} = \frac{2}{1 + C_j/C_a}`$",2023-10-27,1,"Slide 13, 14",AER_MEC345;Lec3;PerformanceMetrics;Efficiency;Propulsive;Formula;Math
"How is high propulsive efficiency achieved?","By having the jet velocity ($`C_j`$) close to the aircraft velocity ($`C_a`$).",2023-10-27,1,"Slide 14. If $`C_j = C_a`$, $`\eta_p = 1`$.",AER_MEC345;Lec3;PerformanceMetrics;Efficiency;Propulsive
"What is the problem with having $`C_j \approx C_a`$?","Thrust $`F = \dot{m}(C_j - C_a)`$ approaches zero.",2023-10-27,1,"Slide 14. Need $`C_j > C_a`$ for positive thrust.",AER_MEC345;Lec3;PerformanceMetrics;Efficiency;Propulsive;Thrust;Tradeoff
"What kind of engines are suitable for low speed flight (low $`C_a`$)?","Engines that accelerate a large mass flow ($`\dot{m}`$) by a small amount ($`C_j - C_a`$ small, $`C_j/C_a`$ closer to 1). Example: Turboprops, high-bypass turbofans.",2023-10-27,1,"Slide 15, 16. These have high $`\eta_p`$.",AER_MEC345;Lec3;Engines;Performance;Propulsive
"What kind of engines are suitable for high speed flight (high $`C_a`$)?","Engines that produce a high jet velocity ($`C_j`$). Example: Turbojets, low-bypass turbofans.",2023-10-27,1,"Slide 16. Propulsive efficiency is lower, but high thrust is achieved.",AER_MEC345;Lec3;Engines;Performance;Propulsive
