front,back,next_review_date,interval_days,notes,tags
"According to the GWEC 2024 report graph (Slide 10), what were representative power ratings for large onshore and offshore turbines around 2023?",Offshore: 9.5 MW<br>Onshore: 10 MW,2025-04-15,1.0,Source: Slide 10,WindTurbines;Size;Trends;Ratings
"According to the GWEC 2024 report graph (Slide 10), what are the estimated power ratings for large onshore and offshore turbines projected for 2030?",Offshore: 25 MW (Estimate)<br>Onshore: 15 MW (Estimate),2025-04-15,1.0,Source: Slide 10,WindTurbines;Size;Trends;Future;Ratings
"For a typical 1 GW offshore wind farm (as of 2024), what component represents the largest share of the capital cost (CapEx)?","Wind turbines, accounting for approximately 48% of the CapEx.",2025-04-15,1.0,Source: Slide 11,OffshoreWind;Costs;CapEx
List the main capital cost (CapEx) components for a typical 1 GW offshore wind farm in descending order of approximate cost share (as of 2024).,1. Wind turbines (48%)<br>2. Foundations (24%)<br>3. Electrical export system (15%)<br>4. Development expenditure (9%)<br>5. Inter-array cables (4%),2025-04-15,1.0,Source: Slide 11,OffshoreWind;Costs;CapEx
What is the typical Levelized Cost of Energy (LCOE) range cited for offshore wind (as of 2024)?,"Approximately 70 to 108 US dollars per megawatt-hour (US$/MWh), depending on financing scenarios.",2025-04-15,1.0,Source: Slide 11,OffshoreWind;Costs;LCOE
What significant milestone did wind power achieve in Great Britain's electricity generation mix in 2024?,"Wind power became the largest single source of electricity generation for the year, surpassing fossil fuels (mainly gas).",2025-04-15,1.0,Source: Slide 12,WindPower;UK;ElectricityGrid;Milestones
Approximately what percentage of Great Britain's electricity was generated by wind power in 2024?,"Around 25%, generating nearly 83,000 GWh.",2025-04-15,1.0,Source: Slide 12,WindPower;UK;ElectricityGrid;Statistics
Why does natural gas remain crucial for the GB electricity system despite the growth of wind power?,"Gas-fired power plants provide essential backup generation, helping to maintain a stable power supply when output from weather-dependent renewables like wind and solar decreases.",2025-04-15,1.0,Source: Slide 12,WindPower;UK;ElectricityGrid;GridBackup;GasPower
"As of April 2015, what was the approximate total *operational* offshore wind capacity in the UK?","Approximately 4,039 MW (or about 4 GW).",2025-04-15,1.0,Source: Slide 14,OffshoreWind;UK;Capacity;History
Name some of the large operational UK offshore wind farms listed as of April 2015 (Slide 14).,"London Array 1 (630 MW), Greater Gabbard (504 MW), West of Duddon Sands (389 MW), Sheringham Shoal (317 MW), Thanet (300 MW), Lincs (270 MW), Walney (Phase 1 & 2, 184 MW each).",2025-04-15,1.0,Source: Slide 14,OffshoreWind;UK;WindFarms;History
Which wind farm was described as the World's Largest Wind Farm *in Operation* since 2013?,The London Array.,2025-04-15,1.0,Source: Slide 15,OffshoreWind;UK;WindFarms;LondonArray;WorldRecord
What are the key specifications of The London Array wind farm?,"Capacity: 630 MW<br>Turbines: 175 x Siemens SWT-3.6-120 (3.6 MW each)<br>Location: Offshore, near North Foreland, Kent<br>Area: 100 km²<br>Operational Since: 2013",2025-04-15,1.0,Source: Slide 15,OffshoreWind;UK;WindFarms;LondonArray
What is the total capacity of the Hornsea Project One offshore wind farm?,"1,200 MW (or 1.2 GW).",2025-04-15,1.0,Source: Slide 16,OffshoreWind;UK;WindFarms;Hornsea;WorldRecord
"How many turbines does Hornsea Project One use, and what is their individual rating and height?","174 giant wind turbines, each rated at 7 MW and standing 190 meters tall.",2025-04-15,1.0,Source: Slide 16,OffshoreWind;UK;WindFarms;Hornsea;Turbines
When did Hornsea Project One and Hornsea Project Two become operational?,Hornsea Project One became operational in 2020.<br>Hornsea Project Two became operational in 2022.,2025-04-15,1.0,Source: Slide 16,OffshoreWind;UK;WindFarms;Hornsea;Timeline
Give examples of specific wind turbine models shown as being commonly installed in the early 2010s (Slide 17).,"Vestas V90-3.0 MW (e.g., Robin Rigg, 2010)<br>Vestas V112-3.0 MW (e.g., Karehamn, 2013)<br>Siemens SWT-3.6MW-120 (e.g., London Array, UK)<br>Vestas V164-8.0 MW (e.g., Burbo Bank Extension, UK)",2025-04-15,1.0,Source: Slide 17,WindTurbines;Models;OffshoreWind;History
"Name two examples of 'super-sized' (14+ MW) wind turbine designs featured in the lecture, including their power rating and rotor diameter.","1. Vestas V236-15.0: 15 MW power output, 236 meter rotor diameter.<br>2. GE Haliade-X: 14 MW power output, 220 meter rotor diameter.",2025-04-15,1.0,Source: Slide 18,WindTurbines;Models;LargeTurbines;Superturbines
"How tall is the GE Haliade-X 14 MW turbine, measured to the blade tip?",260 meters high.,2025-04-17,2.5,Source: Slide 18,WindTurbines;Models;LargeTurbines;GEHaliadeX;Size
What are the key *benefits* specifically associated with *offshore* wind energy compared to onshore wind?,1. Large areas are available with limited environmental impact.<br>2. Offshore wind speeds are generally steadier and higher.<br>3. Can bring generation closer to coastal population/load centers.<br>4. Larger turbine sizes can be more easily transported and constructed via water.,2025-04-15,1.0,Source: Slide 19,OffshoreWind;Advantages
What are the main *challenges* specifically associated with *offshore* wind energy?,"Higher capital costs (installation, foundations) and higher Operation & Maintenance (O&M) costs, particularly as farms are built further from shore and in more demanding environments.",2025-04-15,1.0,Source: Slide 19,OffshoreWind;Disadvantages;Challenges;Costs
(Review Q1) Summarize the main advantages and disadvantages of wind power in general.,"Advantages: Sustainable, clean (no GHG), free source, widely available, no fuel transport needed.<br>Disadvantages: Unpredictable/variable output, cost (though improving), potential environmental impacts (visual, noise, wildlife).",2025-04-15,1.0,"Source: Slides 6, 7, 20",WindPower;Advantages;Disadvantages;Review
(Review Q2) What are the main differences between HAWTs and VAWTs? Give an example of each.,"Difference: Axis of rotation. HAWTs rotate around a horizontal axis (parallel to ground), VAWTs rotate around a vertical axis (perpendicular to ground).<br>Examples: HAWT - Modern large 3-bladed turbines (e.g., Vestas V236). VAWT - Darrieus or Savonius type turbines.",2025-04-15,1.0,"Source: Slides 9, 20",WindTurbines;Types;HAWT;VAWT;Review
(Review Q3) What are typically the top three most expensive *capital cost* components when developing an offshore wind farm?,1. Wind Turbines<br>2. Foundations<br>3. Electrical Export System,2025-04-15,1.0,"Source: Slides 11, 20",OffshoreWind;Costs;CapEx;Review
(Review Q4) Restate the key benefits specifically associated with *offshore* wind energy.,"Access to large areas, steadier and higher wind speeds, proximity to coastal load centers, easier transport and installation of larger turbines.",2025-04-15,1.0,"Source: Slides 19, 20",OffshoreWind;Advantages;Review
(Review Q5) What category typically represents the most significant *operating* costs for an offshore wind farm?,Operation & Maintenance (O&M) costs.,2025-04-15,1.0,"Source: Slides 19, 20",OffshoreWind;Costs;O&M;Review
