front,back,next_review_date,interval_days,notes,tags,ease_factor,lapses,reviews
Main Propulsion Systems Covered,"Gas turbines, RAM-jets, Solid and liquid fuelled rocket engines.",2023-10-27,1.0,,AER_MEC345;Introduction,2.5,0,0
Underlying Principles for Propulsion Systems,Principles of fluid mechanics and thermodynamics.,2023-10-27,1.0,,AER_MEC345;Introduction;Principles,2.5,0,0
Additional Aspects Considered (Beyond Operation),"Pressures for improved performance, fundamental design, and operating context (atmospheric, economic, environmental).",2023-10-27,1.0,,AER_MEC345;Introduction;Context,2.5,0,0
Key Gas Turbine Components Discussed,"Intakes, nozzles, compressors (centrifugal, axial), combustion, turbines (axial, radial), turbine cooling, environmental impact.",2023-10-27,1.0,,AER_MEC345;GasTurbine;Components,2.5,0,0
Engine Types Covered (Besides basic Gas Turbine),"Turbojet, Turbofan, Turboprop, RAM-jet, Rocket Engines (liquid, solid/hybrid).",2023-10-27,1.0,,AER_MEC345;Engines;Types,2.5,0,0
Performance Aspects Discussed,"Thermodynamic cycle efficiency, overall efficiency, component efficiencies, stage loading, velocity triangles, rocket flight performance.",2023-10-27,1.0,,AER_MEC345;Performance,2.5,0,0
Main Components of a Turboprop (Diagram: Page 14),"Propeller (Prop), Compressor, Combustion Chamber, Turbine, Exhaust.",2023-10-27,1.0,,AER_MEC345;Engines;Turboprop;Components,2.5,0,0
What drives the compressor in a basic jet engine?,The turbine.,2025-04-16,1.0,,AER_MEC345;GasTurbine;Operation,2.5,0,1
How are the compressor and turbine typically linked?,They are mounted on the same drive shaft.,2023-10-27,1.0,,AER_MEC345;GasTurbine;Operation,2.5,0,0
What does 'multi-spool' mean in jet engines?,"Multiple compressor/turbine sets rotating independently on concentric shafts at different speeds (e.g., LP and HP spools).",2023-10-27,1.0,,AER_MEC345;GasTurbine;Turbofan;Design,2.5,0,0
How do jet engines generate thrust (Newton's Laws)?,By increasing the momentum of the working fluid (air/combustion products) - accelerating it rearwards.,2023-10-27,1.0,,AER_MEC345;Thrust;Principles,2.5,0,0
What must the engine do to the working fluid to create thrust?,Accelerate the working fluid.,2023-10-27,1.0,,AER_MEC345;Thrust;Principles,2.5,0,0
What is characteristic of the exhaust jet producing thrust?,It has high kinetic energy relative to the engine.,2023-10-27,1.0,,AER_MEC345;Thrust;Principles,2.5,0,0
"Formula for simple momentum thrust (neglecting fuel mass)? Use $`\dot{m}_{air}`$, $`C_j`$ (jet exit velocity), $`C_{aircraft}`$ (aircraft velocity).",$`T = \dot{m}_{air} (C_j - C_{aircraft})`$,2023-10-27,1.0,Assumes air mass flow dominates.,AER_MEC345;Thrust;JetEngine;Formula;Math,2.5,0,0
When might exit pressure ($`P_{exit}`$) differ from atmospheric pressure ($`P_{atm}`$)?,"When engines operate with sonic or choked (higher velocity) exit jets, the nozzle flow may not fully expand to atmospheric pressure.",2023-10-27,1.0,,AER_MEC345;Thrust;Nozzles,2.5,0,0
"Formula for total thrust (momentum + pressure)? Use $`\dot{m}_{air}`$, $`\dot{m}_{fuel}`$, $`C_j`$ (jet velocity), $`A_{exit}`$, $`P_{exit}`$, $`P_{atm}`$.",$`T = (\dot{m}_{air} + \dot{m}_{fuel})C_j + A_{exit}(P_{exit} - P_{atm})`$,2023-10-27,1.0,Also known as gross thrust when $`C_{aircraft}`$=0.,AER_MEC345;Thrust;JetEngine;Formula;Math,2.5,0,0
How do rocket engines differ from air-breathing engines regarding reactants?,Rocket engines carry both fuel AND oxidant onboard; air-breathing engines use atmospheric air as the oxidant.,2023-10-27,1.0,,AER_MEC345;Engines;RocketEngine;Principles,2.5,0,0
Where does combustion occur in a rocket engine?,"In the combustion chamber, after fuel and oxidant are injected and mixed.",2023-10-27,1.0,,AER_MEC345;Engines;RocketEngine;Components,2.5,0,0
What causes the high exhaust velocity in rocket engines?,"Chemical energy release (enthalpy release) from combustion is converted into kinetic energy, accelerating the combustion products through a nozzle, often to supersonic speeds.",2023-10-27,1.0,,AER_MEC345;Engines;RocketEngine;Principles,2.5,0,0
How do rocket engines generate thrust?,Through the change of momentum of the high-velocity expelled combustion products (propellants).,2025-04-16,1.0,,AER_MEC345;Thrust;RocketEngine;Principles,2.5,0,1
What components pump fuel and oxidant in many liquid rocket engines?,"Turbopumps (pumps driven by a turbine), which allow high pressures and flow rates.",2023-10-27,1.0,,AER_MEC345;Engines;RocketEngine;LiquidFuel;Components,2.5,0,0
How are propellants prepared for combustion in a liquid rocket engine?,They are atomised (sprayed) via injectors and mixed thoroughly in/before the combustion chamber.,2023-10-27,1.0,,AER_MEC345;Engines;RocketEngine;LiquidFuel;Operation,2.5,0,0
Common method for cooling liquid rocket engine nozzles?,Regenerative cooling: using the fuel or oxidant as a coolant circulating through channels in the nozzle wall before combustion.,2023-10-27,1.0,,AER_MEC345;Engines;RocketEngine;LiquidFuel;Design,2.5,0,0
Typical combustion temperatures in liquid rocket engines?,"Extreme, often around 2500 K or higher.",2023-10-27,1.0,,AER_MEC345;Engines;RocketEngine;Performance,2.5,0,0
Typical nozzle exit velocities for rocket engines?,"Very high, can be 3-4.5 km/s.",2023-10-27,1.0,,AER_MEC345;Engines;RocketEngine;Performance,2.5,0,0
Do all liquid rocket engines use the same thermodynamic cycle?,"No, different cycles exist (e.g., gas-generator, staged combustion, expander) with varying complexity and performance.",2023-10-27,1.0,,AER_MEC345;Engines;RocketEngine;LiquidFuel;Cycles,2.5,0,0
Where is propellant stored in a Solid Propellant Rocket Motor (SRM)?,"Directly within the motor casing, which also serves as the combustion chamber.",2023-10-27,1.0,,AER_MEC345;Engines;RocketEngine;SolidFuel;Components,2.5,0,0
What determines the combustion chamber shape in an SRM?,The propellant grain (the block of solid propellant) is cast with a specific internal geometry (core shape) which forms the initial chamber shape and burning surface.,2023-10-27,1.0,,AER_MEC345;Engines;RocketEngine;SolidFuel;Design,2.5,0,0
Advantages of Solid Rocket Motors (SRMs)?,"Relatively simple design, robust, storable for long periods, cheaper to develop, high thrust.",2023-10-27,1.0,,AER_MEC345;Engines;RocketEngine;SolidFuel;ProsCons,2.5,0,0
Disadvantages of Solid Rocket Motors (SRMs)?,"Cannot be easily throttled, cannot be shut down or restarted once ignited, lower performance (Isp) than liquids generally.",2023-10-27,1.0,,AER_MEC345;Engines;RocketEngine;SolidFuel;ProsCons,2.5,0,0
How does propellant burn in a typical SRM?,"It burns on the exposed surface area of the grain, typically receding radially outwards from the central core.",2023-10-27,1.0,,AER_MEC345;Engines;RocketEngine;SolidFuel;Operation,2.5,0,0
Direction of gas flow in an SRM?,Combustion gases flow axially down the central core towards the nozzle.,2023-10-27,1.0,,AER_MEC345;Engines;RocketEngine;SolidFuel;Operation,2.5,0,0
Key sections of a rocket engine nozzle?,"Converging section, Throat (minimum area), Diverging section (exit).",2023-10-27,1.0,,AER_MEC345;Engines;RocketEngine;Nozzles;Components,2.5,0,0
