front,back,next_review_date,interval_days,ease_factor,lapses,reviews,tags,notes
What is the primary reason for developing turbofan engines?,To improve propulsion efficiency compared to turbojets.,2025-04-15,0.0,2.5,0,0,"turbofan,propulsion_efficiency,basics",Slide 4
What is the formula for propulsive efficiency ($\eta_p$)?,$\eta_p = \frac{\text{Useful propulsive power (Thrust power)}}{\text{thrust power + jet kinetic energy}}$,2025-04-15,0.0,2.5,0,0,"definitions,propulsion_efficiency,formulas",Slide 4
What does BPR stand for in the context of turbofan engines?,Bypass Ratio,2025-04-15,0.0,2.5,0,0,"definitions,turbofan,acronyms",Slide 5
Which component drives the fan in a typical turbofan engine?,The Low Pressure (LP) turbine.,2025-04-15,0.0,2.5,0,0,"turbofan,components,operation",Slide 5
Define the Bypass Ratio (BPR or B) for a turbofan engine.,It is the ratio of the mass flow rate of the cold (bypass) stream ($m_{cold}$) to the mass flow rate of the hot (core) stream ($m_{hot}$).\n$B = \frac{m_{cold}}{m_{hot}}$,2025-04-15,0.0,2.5,0,0,"definitions,turbofan,bypass_ratio,formulas",Slide 5
How is the total mass flow ($m$) related to the cold ($m_{cold}$) and hot ($m_{hot}$) mass flows in a turbofan?,$m = m_{cold} + m_{hot}$,2025-04-15,0.0,2.5,0,0,"turbofan,mass_flow,formulas",Slide 6
Express the cold mass flow ($m_{cold}$) in terms of total mass flow ($m$) and Bypass Ratio ($B$).,$m_{cold} = \frac{mB}{B+1}$,2025-04-16,1.0,2.5,0,1,"turbofan,mass_flow,bypass_ratio,formulas",Slide 6
Express the hot mass flow ($m_{hot}$) in terms of total mass flow ($m$) and Bypass Ratio ($B$).,$m_{hot} = \frac{m}{B+1}$,2025-04-15,0.0,2.5,0,0,"turbofan,mass_flow,bypass_ratio,formulas",Slide 6
"What is the momentum thrust formula for a turbofan with separate cold ($C_{jc}$) and hot ($C_{jh}$) exhaust velocities, considering incoming air velocity $C_a$?",$F = (m_c C_{jc} + m_h C_{jh}) - m C_a$\n(Assuming $m_c = m_{cold}$ and $m_h = m_{hot}$),2025-04-15,0.0,2.5,0,0,"turbofan,thrust,formulas,momentum",Slide 6
How does a turbofan typically compare to a turbojet in terms of noise?,"Turbofans generally produce less noise, especially modern high-bypass engines, due to lower jet velocities and shifting noise sources.",2025-04-15,0.0,2.5,0,0,"turbofan,turbojet,comparison,noise",Slide 7
Name two common high bypass ratio turbofan configurations based on spools.,1. Two-spool\n2. Three-spool,2025-04-15,0.0,2.5,0,0,"turbofan,configurations,spools",Slide 8
What is a potential configuration for high bypass ratio turbofans involving gearing?,Two-spool geared fan.,2025-04-15,0.0,2.5,0,0,"turbofan,configurations,geared_fan",Slide 8
What are the two key additional parameters needed for turbofan analysis compared to a basic turbojet?,1. Bypass Ratio (BPR)\n2. Fan Pressure Ratio (FPR),2025-04-16,1.0,2.5,0,1,"turbofan,analysis,parameters",Slide 12
What does FPR stand for in turbofan analysis?,Fan Pressure Ratio,2025-04-15,0.0,2.5,0,0,"definitions,turbofan,acronyms",Slide 12
"When analysing a turbofan with separate nozzles, what needs to be checked for both nozzles?",Whether each nozzle (cold/bypass and hot/core) is choked.,2025-04-15,0.0,2.5,0,0,"turbofan,analysis,nozzles,choked_flow",Slide 12
What balance is crucial when analyzing turbofans with multiple shafts (spools)?,"The work balance between the compressors/fan and the turbines on each respective shaft, considering mechanical transmission efficiencies.",2025-04-15,0.0,2.5,0,0,"turbofan,analysis,work_balance,spools",Slide 13
Does the analysis in this module's example cover mixed exhaust streams?,"No, this module focuses on separate hot and cold nozzles. Mixed streams require additional enthalpy and momentum balance considerations.",2025-04-15,0.0,2.5,0,0,"turbofan,analysis,nozzles,mixed_flow",Slide 13
